# {"t_start": 1564962898.3241773, "env_id": "AlienNoFrameskip-v4"} 
r,l,t
440.0,740,24.528237
320.0,564,41.569572
260.0,746,64.710963
260.0,678,85.387436
380.0,672,106.772775
330.0,729,131.069215
330.0,737,156.476192
390.0,969,189.872699
270.0,835,218.993296
270.0,541,236.633478
330.0,682,260.175163
450.0,773,287.78101
170.0,496,305.450705
300.0,698,329.975448
390.0,712,354.965846
400.0,681,378.87823
330.0,861,409.448173
420.0,756,435.271694
250.0,541,453.976433
420.0,869,483.964095
190.0,620,504.838426
310.0,594,524.968614
140.0,475,542.005392
330.0,698,567.012733
290.0,560,586.604366
460.0,910,619.705512
370.0,462,635.848228
300.0,740,661.414483
340.0,542,680.657243
380.0,825,710.207659
600.0,903,740.776249
380.0,837,769.966939
870.0,765,796.979108
410.0,821,825.240491
240.0,518,842.733859
330.0,743,870.278547
310.0,450,886.003771
290.0,669,909.179449
890.0,793,937.120129
370.0,752,963.718055
420.0,620,985.43398
210.0,444,1000.967186
310.0,599,1021.995818
370.0,667,1045.112352
370.0,705,1069.567841
320.0,698,1094.337767
270.0,545,1113.833825
860.0,1032,1150.562727
490.0,490,1167.431097
360.0,559,1186.393778
250.0,458,1201.885914
260.0,658,1224.928822
190.0,485,1241.39134
250.0,613,1262.633574
410.0,519,1279.81064
330.0,631,1301.057073
180.0,611,1323.17882
320.0,491,1340.520457
300.0,459,1356.795296
290.0,603,1378.476149
260.0,537,1397.648954
390.0,665,1421.2266
350.0,672,1444.783498
190.0,535,1464.843032
380.0,581,1485.341167
530.0,528,1503.024593
340.0,745,1529.187202
300.0,420,1544.681049
340.0,416,1558.874173
370.0,534,1576.94751
360.0,592,1598.105931
380.0,442,1613.056638
200.0,632,1635.286416
480.0,529,1654.047626
410.0,851,1683.793239
440.0,529,1701.322186
440.0,422,1716.381695
450.0,616,1738.525083
330.0,746,1764.011671
400.0,457,1780.495628
1080.0,930,1812.841301
250.0,535,1831.544685
370.0,407,1845.807295
320.0,344,1857.529939
410.0,624,1878.2382
380.0,722,1904.710232
390.0,423,1918.475475
1050.0,655,1941.841296
230.0,406,1955.87042
380.0,877,1986.296132
290.0,471,2002.854707
250.0,401,2015.776636
290.0,501,2032.765003
490.0,692,2057.083482
490.0,635,2079.077971
330.0,474,2095.753677
550.0,750,2121.500697
320.0,730,2147.738179
420.0,692,2170.863315
340.0,631,2192.805401
450.0,664,2215.228184
390.0,495,2232.247881
900.0,448,2247.68786
370.0,539,2266.748248
500.0,552,2286.602618
160.0,418,2300.853052
390.0,503,2317.523363
410.0,585,2337.09165
440.0,351,2348.917869
590.0,592,2369.132381
410.0,667,2392.182805
510.0,621,2414.204051
340.0,666,2437.846164
590.0,725,2462.456837
440.0,549,2481.842539
440.0,357,2494.506993
500.0,456,2510.134628
480.0,683,2533.615472
460.0,600,2553.808851
490.0,693,2577.064264
550.0,754,2603.738176
400.0,659,2627.161929
310.0,430,2642.234736
350.0,525,2659.766648
380.0,665,2683.032612
560.0,639,2704.696114
310.0,462,2720.578857
390.0,498,2737.740468
440.0,466,2753.941529
400.0,515,2771.72656
530.0,758,2797.204455
390.0,469,2813.071445
540.0,815,2841.427892
390.0,413,2855.414195
500.0,980,2890.386574
430.0,577,2910.854318
460.0,519,2928.7936
530.0,601,2948.819001
390.0,554,2967.475813
270.0,607,2988.594841
1060.0,674,3011.750669
570.0,649,3033.480465
330.0,362,3045.543313
660.0,571,3065.190368
480.0,556,3083.792704
480.0,589,3104.695153
350.0,505,3122.953896
440.0,524,3141.205516
420.0,577,3162.264519
520.0,534,3180.827474
460.0,402,3195.195264
550.0,625,3217.098005
540.0,605,3238.409553
450.0,492,3255.03911
440.0,574,3274.52699
430.0,491,3290.98726
510.0,433,3306.230924
500.0,939,3338.871422
330.0,394,3352.935778
680.0,890,3384.715504
470.0,503,3401.232423
950.0,725,3426.138329
480.0,399,3439.158479
350.0,420,3453.619846
520.0,931,3485.933027
510.0,607,3507.777691
350.0,730,3533.549365
