# {"t_start": 1564963019.8842137, "env_id": "AlienNoFrameskip-v4"} 
r,l,t
120.0,626,14.725198
200.0,534,25.58744
260.0,779,41.74779
180.0,682,55.907058
190.0,505,66.570444
400.0,786,82.547756
250.0,642,96.326393
230.0,557,107.582368
270.0,607,120.690685
250.0,546,132.281401
240.0,532,143.184395
250.0,557,155.108678
350.0,722,169.669696
290.0,657,183.170554
260.0,717,197.241827
340.0,503,207.903059
240.0,575,220.03954
320.0,543,230.845505
210.0,572,243.157109
220.0,559,254.743622
280.0,519,265.242049
210.0,664,278.805273
170.0,465,288.626886
270.0,638,302.177913
460.0,825,318.895315
350.0,711,333.548874
280.0,485,343.48347
340.0,508,353.72813
270.0,559,364.937452
390.0,796,381.211152
910.0,741,396.30491
230.0,480,405.893196
240.0,633,419.087685
250.0,421,427.750237
270.0,662,441.3578
380.0,567,453.559634
250.0,506,464.520433
320.0,842,481.909166
260.0,515,492.275566
300.0,999,512.370476
340.0,631,525.837732
320.0,789,541.692104
330.0,539,552.599373
300.0,504,563.123327
330.0,472,573.06216
420.0,638,586.279835
210.0,562,597.92471
320.0,539,608.419983
400.0,612,621.205132
400.0,900,639.192526
340.0,614,651.332984
290.0,473,660.913321
320.0,621,673.461574
330.0,500,683.069669
240.0,488,693.302356
480.0,816,710.20623
340.0,579,722.038891
380.0,464,732.013242
250.0,547,743.233772
330.0,637,756.209517
280.0,482,766.388045
420.0,659,779.877802
370.0,520,790.754722
400.0,763,807.012519
450.0,618,819.924944
360.0,679,833.73218
450.0,762,849.003647
930.0,572,860.787709
410.0,543,871.574748
360.0,580,883.33582
410.0,480,892.685797
450.0,705,907.716942
560.0,987,927.457625
600.0,895,945.598034
460.0,715,959.956535
450.0,565,972.101389
380.0,605,984.499158
940.0,587,996.46532
440.0,613,1008.375664
540.0,679,1023.474249
460.0,782,1039.376851
390.0,474,1049.069443
520.0,638,1061.426536
490.0,678,1075.928639
750.0,858,1094.031031
550.0,772,1109.820275
400.0,511,1120.190057
670.0,726,1134.923233
480.0,609,1147.78655
2110.0,731,1162.576288
460.0,617,1175.393316
500.0,650,1188.805365
470.0,516,1199.418895
1110.0,788,1215.701717
580.0,673,1229.232228
600.0,586,1241.032054
1170.0,871,1259.760312
620.0,741,1275.693311
1050.0,610,1288.51816
990.0,831,1306.161701
650.0,832,1324.044046
590.0,712,1338.681381
690.0,806,1355.64839
610.0,590,1367.735267
510.0,541,1378.629762
520.0,676,1392.29859
510.0,560,1403.160182
590.0,682,1418.351665
560.0,682,1432.853402
580.0,645,1446.584447
440.0,431,1455.420919
2130.0,599,1468.312
1000.0,518,1478.474147
590.0,782,1494.248896
570.0,692,1507.999594
560.0,805,1523.603546
670.0,675,1537.009897
420.0,520,1546.789306
750.0,802,1562.565858
1070.0,634,1575.26312
630.0,733,1589.139018
610.0,514,1598.960622
570.0,656,1612.240955
640.0,787,1627.47789
680.0,807,1643.565104
590.0,838,1660.585649
400.0,397,1668.364924
630.0,753,1683.021638
560.0,542,1693.317854
630.0,626,1705.482826
1110.0,639,1718.257538
1080.0,673,1731.85715
590.0,812,1748.189355
700.0,816,1764.39454
530.0,544,1775.303251
430.0,583,1787.112092
570.0,780,1802.396032
650.0,787,1817.457858
620.0,533,1828.074166
1100.0,654,1841.331399
1060.0,554,1852.467098
510.0,556,1863.330293
670.0,634,1875.204492
1090.0,634,1887.642385
640.0,523,1898.19869
1070.0,611,1911.10462
620.0,770,1926.22692
700.0,839,1942.024349
1150.0,657,1954.865997
660.0,594,1966.774149
700.0,657,1979.705667
660.0,678,1992.799943
700.0,732,2007.05846
620.0,667,2020.524908
700.0,802,2036.350094
620.0,598,2047.986037
670.0,718,2062.203351
1110.0,773,2078.065558
730.0,749,2093.340758
1300.0,973,2113.100538
610.0,725,2126.95466
1190.0,609,2139.20648
640.0,681,2152.746214
710.0,743,2167.783962
610.0,701,2181.836586
630.0,682,2195.755348
640.0,750,2210.862552
540.0,661,2224.798121
530.0,642,2237.744801
690.0,539,2248.225943
790.0,1050,2268.657642
1210.0,705,2281.376089
1220.0,716,2295.638236
730.0,704,2309.308148
680.0,557,2320.19618
670.0,680,2333.235551
650.0,788,2348.939613
1160.0,535,2359.710038
660.0,559,2370.580822
640.0,612,2382.455881
730.0,664,2395.437147
670.0,576,2406.865109
1130.0,522,2417.195934
680.0,539,2427.596516
1130.0,634,2440.261631
520.0,472,2449.379598
620.0,615,2462.25384
1190.0,763,2477.378727
690.0,992,2496.568524
620.0,658,2509.524168
660.0,768,2524.240352
640.0,771,2539.481413
1190.0,548,2550.166189
600.0,500,2559.916046
650.0,543,2570.652595
670.0,546,2581.876604
720.0,714,2596.409625
640.0,756,2611.291977
670.0,548,2622.040299
1090.0,610,2634.011225
1210.0,620,2646.119895
1150.0,581,2657.573795
720.0,738,2671.525351
1210.0,632,2683.77409
670.0,619,2696.135517
720.0,673,2708.867053
1280.0,757,2723.347469
630.0,494,2732.96133
610.0,610,2744.744882
610.0,813,2760.931535
740.0,600,2772.391394
1150.0,533,2783.105377
1130.0,757,2797.972113
720.0,839,2814.501963
700.0,768,2829.929978
1240.0,767,2844.693495
1120.0,654,2858.108038
590.0,496,2868.06974
690.0,609,2880.16695
1160.0,680,2893.791968
630.0,729,2908.764977
710.0,810,2924.564209
690.0,688,2938.400093
600.0,636,2950.742706
640.0,589,2962.658916
710.0,782,2978.164765
700.0,567,2989.49716
1170.0,574,3000.517935
1090.0,648,3013.070938
690.0,690,3026.545321
660.0,673,3039.864717
770.0,889,3057.533552
700.0,803,3074.490803
660.0,701,3088.296585
690.0,1109,3110.311801
1160.0,602,3122.371169
1130.0,529,3132.79978
670.0,537,3143.642237
1170.0,540,3154.955549
730.0,708,3169.271228
710.0,782,3185.232825
720.0,774,3200.282335
700.0,581,3211.875039
1190.0,634,3223.436913
1190.0,659,3236.84544
710.0,811,3252.620677
1120.0,697,3266.918058
1140.0,644,3279.675698
630.0,618,3291.584271
1150.0,548,3302.79325
680.0,685,3316.068323
1290.0,708,3330.183468
730.0,785,3345.615484
470.0,394,3353.186988
650.0,702,3367.056504
690.0,771,3382.058506
680.0,841,3398.839505
700.0,626,3411.196079
720.0,691,3424.721475
700.0,790,3440.23299
1290.0,1010,3460.432357
740.0,821,3477.07588
730.0,899,3494.357317
670.0,589,3505.861809
670.0,590,3517.635138
680.0,690,3531.462465
710.0,763,3546.565488
700.0,643,3558.805321
700.0,620,3570.867084
1180.0,542,3581.521385
480.0,518,3591.60299
730.0,687,3605.191075
770.0,1253,3629.844746
1240.0,725,3643.949987
1300.0,844,3660.717948
720.0,606,3671.926615
1170.0,667,3685.5814
700.0,602,3697.288415
700.0,662,3710.512279
650.0,591,3722.08309
630.0,540,3733.255326
780.0,875,3750.817216
490.0,576,3761.815792
600.0,718,3776.843489
750.0,827,3793.265982
690.0,738,3807.861646
720.0,836,3824.740999
710.0,645,3837.040463
710.0,724,3851.20235
1190.0,933,3869.131725
720.0,840,3885.734961
1310.0,858,3902.784287
590.0,621,3915.744353
720.0,827,3931.230588
660.0,696,3944.95734
1220.0,672,3957.407621
630.0,577,3968.382893
660.0,721,3983.311275
1190.0,553,3994.175831
660.0,625,4006.391951
700.0,770,4021.802299
760.0,822,4038.078817
870.0,1146,4060.60975
720.0,964,4079.535097
660.0,596,4091.124002
730.0,831,4107.784821
1180.0,545,4118.249316
700.0,700,4131.372477
690.0,666,4144.127334
660.0,678,4157.746758
650.0,785,4173.426692
690.0,629,4185.669047
700.0,681,4199.208374
700.0,859,4216.370017
720.0,704,4229.955239
