# {"t_start": 1564702267.81392, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,127,3.058357
0.0,125,4.44093
3.0,253,7.37152
0.0,125,8.720427
1.0,155,10.421803
0.0,129,11.831688
0.0,129,13.285182
3.0,230,15.949962
1.0,153,17.565177
1.0,171,19.502461
1.0,155,21.225227
0.0,129,22.614903
0.0,127,24.031466
7.0,326,27.848984
2.0,202,30.169916
7.0,439,35.454851
0.0,125,36.823724
4.0,299,40.405347
0.0,129,41.812167
5.0,348,46.000703
0.0,129,47.365268
2.0,202,49.696075
9.0,404,54.576125
2.0,200,56.896463
2.0,202,59.235793
2.0,198,61.531991
3.0,246,64.377284
1.0,153,66.128123
0.0,127,67.529772
6.0,380,71.914162
2.0,226,74.464431
0.0,127,75.814317
4.0,299,79.233336
0.0,129,80.643924
0.0,127,81.998552
0.0,129,83.404663
0.0,129,84.777198
0.0,125,86.174087
8.0,350,90.226135
9.0,404,95.005821
1.0,157,96.716092
2.0,202,99.014263
1.0,157,100.75064
2.0,198,102.915337
3.0,249,105.774844
9.0,398,110.396725
6.0,381,114.810321
5.0,350,119.351973
5.0,350,124.518313
9.0,404,130.339526
7.0,398,135.950298
3.0,236,139.304387
3.0,248,142.87096
1.0,175,145.286602
1.0,157,147.518339
0.0,129,149.264611
2.0,224,152.307512
3.0,251,155.916371
3.0,233,159.222716
13.0,478,166.156246
6.0,379,171.548107
3.0,234,174.827628
10.0,446,181.261699
4.0,262,185.008303
11.0,401,190.919377
5.0,326,195.589658
7.0,373,200.783682
9.0,454,207.455002
4.0,247,210.913182
6.0,324,215.799948
14.0,535,223.837454
10.0,411,229.525059
15.0,596,238.517983
17.0,588,247.157175
10.0,474,253.736886
14.0,592,262.194725
15.0,501,269.30646
16.0,451,275.606484
16.0,637,284.653894
17.0,538,292.099555
14.0,678,301.864848
18.0,611,310.652715
6.0,368,315.949341
15.0,672,325.530725
10.0,469,332.243135
15.0,651,341.372362
11.0,502,348.593607
19.0,612,357.35539
31.0,854,370.408607
22.0,565,379.418643
20.0,699,390.853763
19.0,806,403.21014
32.0,821,416.743116
21.0,590,426.116199
19.0,439,432.967121
24.0,759,444.945617
13.0,554,454.079844
29.0,856,467.590097
22.0,849,481.080468
41.0,1066,497.910221
18.0,687,509.196016
27.0,880,522.944917
20.0,548,530.598263
25.0,752,542.11426
28.0,818,553.631483
50.0,1283,571.918747
52.0,1018,587.432765
17.0,653,596.480052
10.0,521,604.132015
50.0,1230,621.619889
39.0,886,634.015938
19.0,657,644.834106
22.0,838,657.378326
35.0,984,671.863168
49.0,1357,691.504294
36.0,947,705.439214
35.0,1039,720.170492
35.0,1000,734.410506
43.0,1106,750.243434
40.0,1047,766.944912
29.0,655,776.736263
47.0,1031,792.61733
51.0,1158,809.40212
44.0,978,823.674886
25.0,774,835.663208
45.0,866,848.185577
44.0,1051,864.001991
53.0,1156,881.11772
45.0,1121,896.747613
53.0,1119,912.657015
21.0,573,920.742709
60.0,1184,937.291541
99.0,1222,956.346334
71.0,1495,979.256732
33.0,661,988.619688
50.0,1009,1003.899783
49.0,921,1017.645683
20.0,762,1028.619769
33.0,1026,1043.735789
61.0,1082,1059.023215
71.0,1504,1080.434617
186.0,1542,1102.235188
242.0,1402,1122.568329
57.0,1185,1139.394579
44.0,1110,1154.717984
