# {"t_start": 1564702387.3627431, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
2.0,207,3.757797
2.0,227,6.094871
7.0,325,9.280283
2.0,202,11.555856
0.0,127,12.585736
4.0,299,15.735744
3.0,231,17.954845
0.0,129,19.233961
0.0,129,20.495736
0.0,125,21.722759
0.0,129,23.012149
0.0,129,24.310082
3.0,248,27.081648
5.0,369,30.79744
9.0,398,34.75174
0.0,127,36.03411
2.0,220,38.461495
0.0,129,39.782827
0.0,125,41.045172
1.0,155,42.604246
1.0,175,44.289848
10.0,452,48.989475
0.0,129,50.230241
0.0,125,51.474732
0.0,129,52.792683
0.0,127,54.031879
0.0,127,55.308062
0.0,129,56.648565
0.0,127,57.867092
4.0,297,61.009897
4.0,297,64.047189
9.0,404,68.427571
5.0,350,72.24399
2.0,202,74.265392
0.0,127,75.511606
4.0,301,78.505064
1.0,173,80.33143
0.0,129,81.631134
2.0,198,83.519921
0.0,127,84.798452
9.0,404,89.06218
9.0,404,93.565842
1.0,175,95.372505
0.0,129,96.605143
3.0,248,99.383559
1.0,175,101.16246
6.0,378,105.154327
5.0,335,108.713727
3.0,234,110.843147
3.0,228,113.294136
1.0,157,114.790988
1.0,155,116.430861
5.0,311,119.660738
8.0,281,122.838964
0.0,127,123.863286
4.0,260,126.75667
3.0,237,129.194191
2.0,187,130.987996
1.0,155,132.632406
5.0,325,135.836442
14.0,415,140.119775
9.0,404,144.260796
3.0,273,147.019068
3.0,231,149.291089
3.0,229,151.670644
3.0,250,154.026266
7.0,418,158.588458
1.0,175,160.212207
8.0,435,164.557437
9.0,351,168.125748
2.0,221,170.133461
3.0,250,172.715733
1.0,173,174.442298
3.0,232,176.919485
2.0,186,178.670447
2.0,203,180.781888
2.0,224,183.061787
8.0,470,187.784314
9.0,481,192.931358
1.0,155,194.490792
2.0,206,196.462957
2.0,206,198.583565
3.0,251,201.106139
1.0,175,202.729926
8.0,410,206.77998
6.0,371,210.738406
2.0,204,212.594668
12.0,520,217.706143
2.0,201,219.731775
6.0,315,222.775122
7.0,381,226.911973
12.0,497,231.962217
4.0,298,234.787929
10.0,359,238.60955
14.0,645,245.694909
4.0,261,248.511704
2.0,190,250.387756
18.0,408,254.672474
1.0,177,256.5243
2.0,206,258.909099
6.0,364,263.157684
21.0,514,268.928926
5.0,281,272.207525
8.0,443,276.844594
4.0,304,279.942437
8.0,447,285.257771
6.0,349,289.075247
14.0,498,294.644826
8.0,467,299.694503
8.0,407,304.372159
