# {"t_start": 1564959094.8038385, "env_id": "CentipedeNoFrameskip-v4"} 
r,l,t
11532.0,1954,12.295848
3768.0,809,17.119703
2250.0,911,22.666427
4848.0,919,28.179335
2592.0,631,31.891006
1187.0,564,35.184656
3675.0,985,41.057065
4221.0,1117,48.024093
1710.0,587,51.508997
2892.0,893,56.891511
6681.0,1601,70.763227
2390.0,777,77.523065
1543.0,694,83.479357
1787.0,460,87.405471
1662.0,1046,96.374633
3013.0,608,101.616437
2571.0,902,109.406518
1968.0,577,114.349758
3543.0,1151,124.729776
5044.0,1300,136.270426
1612.0,588,141.405564
2179.0,622,147.390006
1467.0,695,154.330541
3195.0,972,163.811798
3096.0,808,171.333477
4420.0,1268,182.341295
4270.0,922,190.547551
2698.0,536,195.272277
2922.0,1025,204.197958
3636.0,1215,214.990784
4030.0,928,223.151861
1604.0,686,229.236873
2947.0,780,235.992324
1982.0,717,242.188966
977.0,738,248.627653
3421.0,565,253.505008
890.0,566,258.489121
2120.0,526,263.078182
5560.0,1071,272.351989
708.0,399,275.760309
2790.0,844,283.183283
1972.0,534,287.830171
2171.0,692,294.030043
3397.0,708,300.194165
6191.0,836,307.377507
1661.0,932,315.345107
4355.0,1015,324.119175
2460.0,769,331.109674
4830.0,992,339.759114
5728.0,1493,352.854527
1501.0,622,358.418466
2474.0,723,364.831731
1725.0,534,369.490171
4416.0,1037,379.29629
3451.0,632,385.176724
1084.0,561,390.305356
3488.0,716,396.648562
1450.0,536,401.393401
2580.0,595,406.82041
7673.0,1093,416.334074
3649.0,825,423.396759
4771.0,1243,434.083108
869.0,591,439.158814
2074.0,649,444.689391
2909.0,798,451.533622
823.0,555,456.260875
2645.0,753,462.743312
1683.0,741,469.201842
1744.0,670,475.152867
2702.0,709,481.28263
2048.0,749,487.969857
1777.0,617,493.519143
977.0,599,498.752656
1068.0,544,503.58719
1287.0,591,508.816431
3078.0,982,517.449422
1878.0,627,523.111869
1792.0,503,528.274202
1758.0,731,535.353259
1602.0,579,541.998528
2070.0,441,548.716131
3557.0,776,561.058738
6047.0,1048,577.073508
3481.0,887,590.700371
1335.0,710,601.593412
2606.0,741,612.87043
999.0,487,620.617732
3742.0,1023,637.215278
3740.0,715,649.068588
5333.0,1107,665.850163
1567.0,561,674.251752
1337.0,553,682.583501
5788.0,1239,701.655199
1942.0,739,712.890582
2365.0,704,723.553291
4664.0,882,737.562962
1462.0,605,746.980574
1173.0,610,756.344026
3690.0,957,771.243802
754.0,547,779.59537
3647.0,937,793.817726
2678.0,828,806.242931
2975.0,826,818.682281
2699.0,720,829.516356
3612.0,847,842.434456
2285.0,734,853.452842
3452.0,857,866.534771
2192.0,654,876.592968
2274.0,761,887.898275
1357.0,525,895.936954
1914.0,478,903.021988
1766.0,612,912.290271
3727.0,957,926.853423
1190.0,677,936.961131
5402.0,1279,956.178923
807.0,506,963.716506
1320.0,709,974.162486
5098.0,1015,989.690809
3955.0,859,1002.529346
4505.0,886,1015.853227
5000.0,873,1028.816997
1744.0,590,1037.80956
4140.0,1065,1054.295129
2328.0,669,1064.572124
1420.0,601,1073.416811
891.0,455,1080.261345
3598.0,1012,1095.712341
5114.0,1038,1111.646569
4487.0,868,1124.723519
1499.0,781,1136.303621
1875.0,635,1145.861271
3438.0,653,1155.752578
973.0,455,1162.690505
1429.0,628,1172.13682
4935.0,673,1182.224668
3606.0,705,1192.933869
5826.0,867,1206.122447
2758.0,829,1219.211166
2748.0,1064,1237.746248
1777.0,698,1249.218521
2304.0,551,1257.993589
608.0,400,1264.545991
2558.0,938,1280.004053
1973.0,572,1288.680154
2674.0,654,1299.822508
2367.0,847,1314.129344
8767.0,1498,1337.635821
1191.0,542,1345.99305
3184.0,801,1358.38196
3460.0,1014,1374.750902
1101.0,577,1383.897701
1875.0,428,1390.654395
486.0,467,1397.768835
5519.0,1307,1418.057221
1579.0,516,1425.979204
2199.0,594,1434.747014
4748.0,934,1449.18988
2093.0,661,1459.745393
3654.0,889,1473.70597
1104.0,485,1481.219888
1958.0,490,1490.237298
4790.0,951,1509.485519
