# {"t_start": 1564959153.9733326, "env_id": "CentipedeNoFrameskip-v4"} 
r,l,t
1290.0,456,3.929638
3380.0,757,8.972658
4181.0,996,15.585081
1981.0,589,19.409039
547.0,336,21.672547
4128.0,1096,28.83884
1672.0,458,31.909173
2817.0,947,38.090943
1691.0,642,42.293422
1176.0,554,45.937181
3872.0,883,51.814203
579.0,408,54.505651
1524.0,733,59.714203
3677.0,977,66.082621
1796.0,670,70.806936
2970.0,1021,77.732456
1785.0,655,82.185688
1267.0,650,86.712529
2362.0,572,90.953716
1218.0,614,95.552458
3183.0,748,100.988042
1389.0,567,105.01405
1183.0,742,110.273032
1936.0,742,115.119534
1386.0,468,118.289207
3426.0,843,123.816475
2787.0,634,128.221553
3405.0,1016,135.105438
2950.0,1247,143.494227
1766.0,846,149.073524
1069.0,791,154.637418
2467.0,762,159.517025
1313.0,557,163.378788
2286.0,689,167.866281
2170.0,814,173.260581
718.0,591,177.251126
788.0,573,180.932257
1250.0,453,184.037147
1810.0,591,187.915683
991.0,532,191.383265
1156.0,602,195.438858
349.0,642,199.763244
3874.0,595,203.843678
1797.0,717,208.531829
4178.0,1075,215.779169
5106.0,642,219.950615
1118.0,618,224.115058
3153.0,913,230.282431
3394.0,531,233.932815
982.0,533,237.418496
3878.0,991,243.993295
4883.0,1003,250.657986
1768.0,556,254.243087
1574.0,893,260.145731
1083.0,429,262.954965
2968.0,906,269.154743
1885.0,709,273.980507
3902.0,932,280.22784
1262.0,827,285.967515
3503.0,513,289.163931
1332.0,499,292.418569
5104.0,1023,299.328942
1256.0,502,302.77668
2210.0,787,308.006375
933.0,460,311.190947
4360.0,1109,318.984802
5409.0,1038,326.458341
2343.0,688,331.332646
913.0,611,335.310866
743.0,645,339.650864
870.0,493,343.011138
3055.0,730,348.104761
2088.0,563,351.77252
1436.0,624,356.005957
3690.0,700,360.516585
2710.0,846,366.192378
1619.0,579,369.937299
1479.0,446,372.94696
5124.0,1117,380.13952
