# {"t_start": 1564699317.0892928, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,817,5.224231
-20.0,835,9.646557
-20.0,977,15.037211
-20.0,1110,21.177149
-21.0,878,25.966433
-20.0,1110,31.914437
-21.0,1060,37.643701
-20.0,911,42.562736
-20.0,979,50.419823
-19.0,1148,60.875213
-20.0,927,67.490246
-21.0,757,71.554912
-21.0,761,75.709155
-19.0,982,81.162108
-20.0,839,85.813076
-21.0,818,90.231217
-21.0,883,94.991687
-20.0,898,100.909503
-21.0,786,107.168322
-21.0,969,114.860256
-21.0,1027,122.828484
-21.0,843,129.419922
-20.0,842,136.113814
-21.0,925,143.345468
-21.0,901,150.414141
-21.0,820,157.026511
-20.0,834,163.629193
-19.0,996,171.583535
-21.0,815,178.02945
-20.0,918,185.441824
-21.0,808,191.939807
-21.0,916,199.104979
-21.0,797,205.529719
-20.0,973,213.352913
-21.0,816,219.846351
-21.0,822,226.331381
-20.0,1017,234.422538
-19.0,1084,243.082344
-18.0,1089,251.714185
-20.0,1046,260.116294
-21.0,990,267.902817
-20.0,983,275.784952
-20.0,891,282.922295
-21.0,1148,291.996499
-20.0,1134,300.928322
-21.0,791,307.189278
-21.0,821,313.749089
-19.0,1051,322.250177
-20.0,1039,330.594469
-20.0,1083,339.330974
-19.0,1019,347.554564
-20.0,931,355.205229
-21.0,840,362.030758
-20.0,962,370.011271
-21.0,1015,378.256652
-17.0,1289,388.582648
-18.0,1220,398.50089
-21.0,823,405.285074
-20.0,1134,415.913039
-20.0,1212,427.38578
-20.0,1263,438.447087
-18.0,1253,449.244518
-17.0,1636,463.15622
-18.0,1542,476.568555
-18.0,1249,487.783875
-18.0,1336,499.347158
-16.0,1568,513.037772
-19.0,1381,525.369306
-18.0,1723,541.790986
-12.0,2047,558.391558
-13.0,2053,575.247245
-15.0,1948,590.875812
-15.0,1898,606.491947
-17.0,1612,621.698025
-19.0,1603,635.079818
-20.0,1701,649.338672
-1.0,3040,672.816012
-8.0,2479,692.476688
-18.0,1578,704.635043
