# {"t_start": 1564699417.0469453, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-18.0,1122,7.774189
-20.0,928,13.474897
-20.0,981,19.4838
-21.0,849,24.649356
-21.0,839,29.695086
-21.0,929,35.574864
-21.0,870,40.795042
-21.0,820,45.982708
-19.0,1091,52.664068
-21.0,838,57.905257
-21.0,959,63.715312
-21.0,823,68.868899
-21.0,836,74.000049
-20.0,837,79.245252
-20.0,840,84.412127
-21.0,838,89.697491
-21.0,820,94.671533
-21.0,941,100.410621
-20.0,1201,108.012352
-21.0,1241,115.726254
-21.0,881,121.01826
-20.0,989,127.196118
-21.0,878,132.619153
-20.0,863,137.994901
-21.0,999,144.040916
-21.0,820,149.245504
-20.0,842,154.386764
-21.0,1123,161.431064
-21.0,824,166.568712
-21.0,818,171.597695
-21.0,821,176.645444
-20.0,1181,184.041778
-21.0,888,189.422849
-21.0,854,194.794513
-20.0,993,200.969388
-21.0,819,205.949637
-20.0,997,212.122354
-20.0,1064,218.730011
-17.0,1243,226.516581
-21.0,887,232.067252
-21.0,940,237.864537
-21.0,905,243.514638
-20.0,838,248.94661
-21.0,818,254.008328
-21.0,818,259.256365
-21.0,897,264.901206
-21.0,941,270.883023
-20.0,855,276.362331
-21.0,822,281.377262
-20.0,1003,287.675295
-20.0,1003,294.004109
-21.0,950,299.915103
-20.0,939,305.870868
-19.0,1113,313.910698
-20.0,1206,322.25101
-20.0,1037,329.614392
-20.0,1084,336.785794
-21.0,941,342.901582
-20.0,971,349.35799
-21.0,1145,356.875561
-19.0,1078,363.833824
-21.0,1002,370.402662
-20.0,1164,378.32653
-21.0,944,384.915397
-19.0,1343,393.720803
-20.0,1285,402.20014
-18.0,1350,411.336456
-19.0,1532,421.335404
-20.0,1501,432.049315
-20.0,1482,442.670429
-19.0,1239,450.370368
-16.0,1757,461.52919
-20.0,1951,473.848048
-18.0,2075,486.961768
-19.0,2185,500.7298
-20.0,2181,516.049999
-19.0,2330,531.013343
-19.0,2488,547.131489
-19.0,2558,562.840746
-16.0,2948,581.005421
-18.0,1937,593.086758
-16.0,2993,611.441124
-16.0,2425,626.219343
-17.0,2728,642.6877
-10.0,3382,663.227732
-15.0,3312,684.218256
-12.0,3107,703.543001
-17.0,2004,716.161551
-17.0,1966,730.286657
-15.0,2634,747.195395
-15.0,2798,764.996576
-13.0,2402,780.092582
-9.0,3537,802.238413
-13.0,3113,821.485517
-9.0,3296,841.920997
-15.0,2828,859.394858
-11.0,2798,876.821559
-9.0,3909,901.339432
-10.0,3015,919.291301
-10.0,3515,940.559629
-8.0,3901,963.860707
-6.0,3812,986.814628
-3.0,4325,1013.004876
-5.0,3815,1035.685279
-13.0,3193,1054.968618
-13.0,2658,1071.133628
-9.0,3751,1093.708787
-7.0,3062,1112.281105
-13.0,2178,1125.462852
-2.0,4108,1150.135526
-6.0,4005,1174.289282
-4.0,3428,1194.7879
-8.0,3575,1216.462372
-4.0,3906,1240.273243
-3.0,4109,1265.217265
-4.0,4052,1289.892212
-7.0,3654,1311.928139
9.0,3472,1332.853275
10.0,2979,1351.000153
13.0,2809,1367.743523
12.0,2441,1382.417111
17.0,2235,1396.034184
16.0,2204,1409.36518
17.0,2234,1422.92617
16.0,2496,1437.849231
20.0,2067,1450.221477
18.0,2188,1463.435926
17.0,2131,1476.365442
10.0,2740,1493.336081
17.0,2197,1506.634724
16.0,2353,1521.114146
19.0,2048,1533.411225
20.0,1991,1545.332463
1.0,3583,1566.899664
18.0,2121,1579.800052
15.0,2376,1594.153652
20.0,2001,1606.266738
15.0,2193,1619.487206
17.0,2131,1632.332025
20.0,1677,1642.452132
17.0,1992,1654.511325
20.0,1728,1664.998253
18.0,1746,1675.547494
11.0,2637,1691.231588
19.0,1696,1701.410013
19.0,1758,1712.089897
20.0,1735,1722.606651
17.0,2074,1735.09889
19.0,1789,1745.843382
18.0,1801,1756.652052
18.0,1964,1768.50132
15.0,1864,1779.790268
18.0,2222,1793.148121
19.0,2164,1806.275109
20.0,1621,1816.168477
17.0,2152,1828.997769
14.0,2618,1844.828613
20.0,2091,1857.415449
17.0,1719,1867.828947
18.0,1692,1878.002639
20.0,1625,1887.744237
18.0,1686,1898.027344
1.0,3572,1919.399535
3.0,3326,1939.544563
19.0,2250,1953.22852
19.0,1765,1963.952536
18.0,2188,1977.112047
19.0,1770,1987.966492
20.0,1621,1997.656554
16.0,2453,2012.44963
20.0,1674,2022.702751
4.0,3098,2041.372372
14.0,2351,2055.515648
16.0,1931,2067.126956
18.0,2089,2079.722934
6.0,3222,2099.437322
18.0,1791,2110.192504
10.0,2773,2126.915953
8.0,3027,2145.373833
18.0,2261,2158.920966
20.0,1660,2168.903435
20.0,1624,2178.700288
16.0,2289,2192.646608
17.0,2433,2207.32338
20.0,1561,2216.7171
17.0,2241,2230.298961
16.0,2315,2244.293281
18.0,1753,2254.752693
19.0,2043,2267.04862
20.0,1622,2276.855552
19.0,1687,2286.958188
18.0,1792,2297.763288
14.0,2291,2311.69873
12.0,2658,2327.839442
19.0,1723,2338.200363
18.0,2256,2351.76191
20.0,1621,2361.442453
16.0,2069,2374.125915
16.0,2309,2388.201986
17.0,2348,2402.373501
19.0,2088,2414.850059
20.0,2003,2426.922896
17.0,2026,2439.191045
18.0,1720,2449.515368
18.0,1813,2460.427539
