# {"t_start": 1564960676.566377, "env_id": "RobotankNoFrameskip-v4"} 
r,l,t
3.0,2163,59.179981
4.0,3038,138.231311
2.0,2180,196.303423
0.0,2811,267.211374
1.0,1565,306.921946
3.0,2446,369.275875
5.0,2826,440.983509
1.0,2994,519.904438
5.0,2821,592.79304
2.0,3351,681.463317
2.0,2715,755.760138
0.0,1012,782.602803
2.0,2826,858.103302
1.0,2344,918.960307
3.0,3500,1014.867894
3.0,2585,1085.002758
2.0,1946,1134.896636
2.0,2763,1206.152799
2.0,1241,1237.584607
2.0,2179,1293.713198
1.0,2450,1357.87324
1.0,1572,1398.939466
1.0,1706,1442.038025
0.0,1223,1473.405691
2.0,4033,1577.982351
1.0,2043,1630.413245
1.0,3102,1711.195854
2.0,3083,1791.291728
0.0,1549,1831.342526
4.0,2928,1905.455582
1.0,1181,1935.977298
2.0,1668,1979.621114
3.0,3331,2066.252922
3.0,3903,2169.631091
2.0,3851,2280.279306
2.0,1769,2334.255153
1.0,2827,2431.897771
3.0,3097,2539.851383
2.0,1831,2602.916032
4.0,4153,2747.393008
2.0,2503,2834.719159
0.0,1200,2877.243825
1.0,1609,2932.602792
2.0,1579,2986.702512
2.0,2551,3075.296164
4.0,3125,3184.107538
0.0,1127,3222.990557
4.0,3357,3336.489126
2.0,2228,3417.193265
1.0,3268,3529.967313
6.0,4342,3680.318791
2.0,1943,3747.286501
2.0,1649,3806.622584
3.0,2777,3905.190886
4.0,2381,3987.024469
2.0,4585,4145.786091
4.0,2572,4235.720176
2.0,2135,4309.728853
1.0,1870,4374.452981
1.0,1118,4413.592545
1.0,1870,4478.999326
2.0,1968,4546.322641
3.0,2043,4615.764097
6.0,3408,4732.91737
5.0,3185,4843.729995
1.0,2413,4928.096585
2.0,2039,4998.94275
2.0,2201,5075.322385
1.0,2661,5166.953985
1.0,1339,5214.698597
0.0,699,5238.384042
2.0,3116,5345.45654
3.0,3264,5459.215384
0.0,1894,5524.118608
2.0,3008,5629.040083
4.0,3366,5746.043404
0.0,2130,5819.535411
5.0,2852,5915.99299
1.0,2620,6006.263927
2.0,1712,6064.547123
3.0,3082,6172.941673
5.0,4384,6325.775723
1.0,1461,6377.086455
2.0,2338,6458.547034
1.0,1552,6511.474152
0.0,1012,6547.953271
2.0,2039,6619.151565
1.0,2710,6711.216709
5.0,3344,6827.722271
3.0,3473,6948.226735
4.0,2584,7037.292261
1.0,2992,7140.24438
3.0,2627,7230.166533
2.0,3468,7349.595437
3.0,2987,7451.805002
2.0,2288,7530.253371
9.0,4210,7674.665241
0.0,927,7706.212758
2.0,2406,7789.594853
2.0,1983,7858.530005
2.0,1772,7920.045663
2.0,1840,7982.426194
3.0,2181,8056.653162
0.0,2381,8137.471375
2.0,2916,8238.596271
2.0,2135,8313.180073
1.0,1677,8371.367177
1.0,1728,8431.936727
1.0,2262,8511.083483
3.0,4553,8666.725665
1.0,2669,8760.830562
5.0,3117,8869.251868
4.0,3179,8977.969095
1.0,1831,9040.210176
0.0,2425,9122.8852
2.0,2670,9215.874963
