# {"t_start": 1564960580.5045204, "env_id": "RobotankNoFrameskip-v4"} 
r,l,t
1.0,2583,37.522336
1.0,1714,61.082965
3.0,3624,115.263955
6.0,4613,193.031545
1.0,1586,218.96501
4.0,2200,254.978012
2.0,1887,285.953543
3.0,3918,348.723293
3.0,2988,396.076899
2.0,2833,440.999044
1.0,2586,482.300248
0.0,2929,529.015483
0.0,2101,563.364815
3.0,2578,605.855595
0.0,1680,633.679751
0.0,2460,672.744305
4.0,2498,712.427672
3.0,2736,758.104654
0.0,840,771.86878
1.0,1876,802.92157
1.0,1552,829.943934
3.0,4010,897.958974
5.0,3592,958.320086
4.0,2461,999.426015
3.0,2946,1048.056647
2.0,2365,1088.617888
4.0,2962,1139.944965
1.0,2777,1186.427253
2.0,2405,1224.460166
5.0,3771,1284.845796
5.0,2474,1324.327152
3.0,3341,1376.640404
6.0,2874,1423.211035
5.0,2278,1459.899403
3.0,2360,1497.503434
10.0,4438,1567.854641
5.0,2404,1606.855347
2.0,1716,1634.093197
7.0,4642,1708.059279
4.0,3318,1761.053237
6.0,3662,1820.053602
7.0,4644,1894.667611
3.0,2163,1929.901916
1.0,2771,1974.001574
6.0,4979,2053.956566
3.0,2372,2092.094059
1.0,1736,2119.632649
13.0,6242,2221.66258
2.0,2072,2255.025024
2.0,2478,2294.60411
7.0,2868,2344.158741
3.0,2409,2388.853541
2.0,1364,2413.37385
2.0,1298,2437.40625
2.0,2044,2477.329182
2.0,2018,2518.301508
4.0,2587,2572.151747
1.0,1618,2604.917859
2.0,1654,2637.999362
3.0,2480,2688.76271
2.0,2666,2742.462786
3.0,2672,2795.399994
4.0,2299,2841.698035
2.0,2020,2882.627295
7.0,2243,2927.854386
2.0,1795,2963.54651
1.0,1274,2989.632303
0.0,1293,3016.106584
3.0,1365,3043.488885
1.0,1708,3078.633241
1.0,1686,3113.186544
4.0,2478,3162.713773
4.0,2999,3223.761761
2.0,1773,3260.209327
1.0,1664,3294.401678
1.0,1683,3328.334221
1.0,1825,3365.644764
0.0,1553,3396.730852
4.0,1801,3434.039767
6.0,5237,3541.724516
1.0,1615,3575.079883
5.0,4967,3677.000038
4.0,3469,3749.200997
4.0,2547,3802.851345
2.0,3157,3867.813656
3.0,2214,3914.149588
1.0,2615,3966.04466
2.0,1985,4005.308279
1.0,1795,4040.273111
2.0,4091,4120.028004
2.0,1653,4151.878774
1.0,1925,4190.333334
1.0,1082,4212.116101
7.0,3116,4274.433681
4.0,2892,4331.276491
5.0,3069,4392.333139
1.0,2095,4433.353029
0.0,2298,4479.155476
1.0,1842,4516.671836
4.0,2819,4572.468424
1.0,1973,4612.742083
2.0,2029,4653.018566
5.0,2546,4702.871996
1.0,1606,4733.224953
1.0,2364,4779.708352
2.0,1710,4813.57181
5.0,3495,4882.905215
4.0,2659,4935.897901
1.0,1870,4972.738432
5.0,2458,5021.507679
7.0,3073,5082.473027
3.0,1815,5119.080725
6.0,3208,5181.272122
4.0,2342,5227.039601
1.0,1495,5256.457929
7.0,3255,5321.242051
1.0,1872,5358.531324
3.0,1732,5392.798491
4.0,2130,5436.586945
1.0,2286,5481.709816
6.0,3841,5556.949645
3.0,2203,5600.929593
5.0,2455,5649.513099
2.0,2063,5688.602239
4.0,2900,5746.285606
1.0,2226,5790.201877
3.0,1697,5823.710776
1.0,1542,5853.751544
3.0,2070,5894.649353
3.0,2458,5943.238856
0.0,1815,5978.613001
0.0,1062,5999.11432
3.0,2935,6056.373032
2.0,2260,6100.961796
8.0,3729,6175.930579
2.0,2935,6233.856766
3.0,1995,6273.461878
4.0,2340,6319.903681
0.0,1547,6350.502203
1.0,2921,6408.287528
4.0,3539,6479.860721
6.0,3733,6553.751395
4.0,2778,6606.953559
3.0,2576,6657.939842
1.0,1576,6689.423104
1.0,1986,6729.143493
